<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
Date: 01/01/20 Time: 22:32 Location: Raffles Hotel
64 bytes from 8.8.8.8: icmp_seq=0 ttl=55 time=18.446 ms
64 bytes from 8.8.8.8: icmp_seq=1 ttl=55 time=22.080 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=55 time=22.302 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=55 time=17.629 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=55 time=16.725 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=55 time=17.902 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=55 time=23.862 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=55 time=18.230 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=55 time=33.056 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=55 time=16.734 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=55 time=17.903 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=55 time=31.797 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=55 time=16.706 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=55 time=17.799 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=55 time=16.971 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=55 time=16.959 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=55 time=20.764 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=55 time=21.415 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=55 time=16.790 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=55 time=19.256 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=55 time=22.116 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=55 time=17.548 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=55 time=17.459 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=55 time=18.669 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=55 time=17.049 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=55 time=20.155 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=55 time=18.158 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=55 time=24.626 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=55 time=19.939 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=55 time=18.063 ms
64 bytes from 8.8.8.8: icmp_seq=30 ttl=55 time=16.789 ms
64 bytes from 8.8.8.8: icmp_seq=31 ttl=55 time=17.020 ms
64 bytes from 8.8.8.8: icmp_seq=32 ttl=55 time=16.826 ms
64 bytes from 8.8.8.8: icmp_seq=33 ttl=55 time=19.402 ms
64 bytes from 8.8.8.8: icmp_seq=34 ttl=55 time=21.911 ms
64 bytes from 8.8.8.8: icmp_seq=35 ttl=55 time=16.623 ms
64 bytes from 8.8.8.8: icmp_seq=36 ttl=55 time=16.924 ms
64 bytes from 8.8.8.8: icmp_seq=37 ttl=55 time=16.671 ms
64 bytes from 8.8.8.8: icmp_seq=38 ttl=55 time=23.582 ms
64 bytes from 8.8.8.8: icmp_seq=39 ttl=55 time=24.591 ms
64 bytes from 8.8.8.8: icmp_seq=40 ttl=55 time=16.912 ms
64 bytes from 8.8.8.8: icmp_seq=41 ttl=55 time=16.606 ms
64 bytes from 8.8.8.8: icmp_seq=42 ttl=55 time=16.700 ms
64 bytes from 8.8.8.8: icmp_seq=43 ttl=55 time=16.654 ms
64 bytes from 8.8.8.8: icmp_seq=44 ttl=55 time=18.466 ms
64 bytes from 8.8.8.8: icmp_seq=45 ttl=55 time=18.344 ms
64 bytes from 8.8.8.8: icmp_seq=46 ttl=55 time=26.582 ms
64 bytes from 8.8.8.8: icmp_seq=47 ttl=55 time=21.769 ms
64 bytes from 8.8.8.8: icmp_seq=48 ttl=55 time=19.198 ms
64 bytes from 8.8.8.8: icmp_seq=49 ttl=55 time=17.848 ms
64 bytes from 8.8.8.8: icmp_seq=50 ttl=55 time=17.687 ms
